model,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max
DecisionTree,0.9043518518518519,0.046810930812313946,0.7222222222222222,1.0,0.9126374516620922,0.043119456027570884,0.7532467532467533,1.0,0.9057169312169312,0.04663169483351687,0.7195767195767195,1.0,0.9054388260511401,0.047221182542842924,0.7173069549881145,1.0
GaussianNB,0.9777777777777777,0.01856498915248466,0.9259259259259259,1.0,0.9785478626921033,0.018334200461759494,0.9274509803921568,1.0,0.9796322751322751,0.01693678266413885,0.9312169312169312,1.0,0.9784002521342624,0.018193316641916774,0.9265350877192983,1.0
KNN,0.9592592592592593,0.026189140043946204,0.8703703703703703,1.0,0.9607155488666121,0.024109766524076145,0.8768939393939394,1.0,0.9644947089947089,0.02299639887133792,0.8825396825396826,1.0,0.9603686622792551,0.025692089610243125,0.8713455390874746,1.0
LogisticRegression,0.9807407407407408,0.016060593468434914,0.9259259259259259,1.0,0.9810106599611159,0.015769893488564685,0.9269005847953217,1.0,0.9819523809523809,0.015147585216671812,0.9301587301587301,1.0,0.9809285544168125,0.015753077176230677,0.9269005847953217,1.0
RandomForest,0.9840740740740741,0.016712615281179358,0.9074074074074074,1.0,0.9839208350393992,0.016899392640176772,0.9113060428849903,1.0,0.9860978835978836,0.014591592443965122,0.917989417989418,1.0,0.9844388716036357,0.01648775082411873,0.9085254614666379,1.0
SASKC,0.9560185185185185,0.025416921133781446,0.8518518518518519,1.0,0.9579143547209236,0.023042537160810728,0.8774509803921569,1.0,0.9617037037037036,0.022351655329287443,0.873015873015873,1.0,0.957351095509595,0.024918743226225636,0.8531162464985994,1.0
SVC,0.9817592592592592,0.01706338643267894,0.9259259259259259,1.0,0.9833833952882866,0.01562070488105357,0.9327122153209109,1.0,0.9807354497354497,0.018445194917618077,0.9211640211640212,1.0,0.9815784824901155,0.017258749007754617,0.9256904015524704,1.0
